RNS,80,48.06949997,-1.734789968,FR-E,
AUA,79,12.50139999,-70.01519775,AW-U-A,
CWB,79,-25.5284996,-49.17580032,BR-PR,
ELQ,79,26.30279922,43.7743988,SA-05,
LFT,79,30.20529938,-91.98760223,US-LA,
MME,79,54.50920105,-1.429409981,GB-ENG,
PUJ,79,18.56739998,-68.36340332,DO-11,
BGW,78,33.26250076,44.23460007,IQ-BG,
CAK,78,40.91609955,-81.44219971,US-OH,
EUG,78,44.12459946,-123.211998,US-OR,
JAN,78,32.31119919,-90.07589722,US-MS,
MTY,78,25.7784996,-100.1070023,MX-NLE,
NAN,78,-17.7553997,177.4429932,FJ-W,
VGO,78,42.23180008,-8.62677002,ES-GA,
CCU,77,22.65469933,88.44670105,IN-WB,
CID,77,41.88470078,-91.71080017,US-IA,
FRU,77,43.06129837,74.4776001,KG-C,
FSD,77,43.58200073,-96.74189758,US-SD,
HER,77,35.33969879,25.18029976,GR-91,
HSV,77,34.6371994,-86.77510071,US-AL,
KIN,77,17.93569946,-76.78749847,JM-01,
KZN,77,55.60620117,49.27870178,RU-TA,
OGG,77,20.89859962,-156.4299927,US-HI,
AOI,76,43.616299,13.3623,IT-57,
BIQ,76,43.46839905,-1.52331996,FR-B,
JER,76,49.207901,-2.195509911,JE-U-A,
ROA,76,37.32550049,-79.97540283,US-VA,
TLH,76,30.39649963,-84.35030365,US-FL,
VPS,76,30.48320007,-86.52539825,US-FL,
BTR,75,30.53319931,-91.14959717,US-LA,
CRK,75,15.18599987,120.5599976,PH-PAM,
MOB,75,30.69120026,-88.24279785,US-AL,
NCP,75,,,,
OVD,75,43.56359863,-6.034619808,ES-O,
PEN,75,5.297140121,100.2770004,MY-07,
SZX,75,22.63929939,113.810997,CN-44,
TGD,75,42.3594017,19.25189972,ME-16,
AVV,74,-38.03939819,144.4689941,AU-VIC,
DTM,74,51.5182991,7.612239838,DE-NW,
HUY,74,53.57440186,-0.350832999,GB-ENG,
SEZ,74,-4.674339771,55.52180099,SC-20,
BFS,73,54.65750122,-6.215829849,GB-NIR,
PUF,73,43.38000107,-0.41861099,FR-B,
RGN,73,16.90730095,96.1332016,MM-06,
AES,72,62.5625,6.119699955,NO-15,
CAG,72,39.251499,9.05428,IT-88,
CFE,72,45.7867012,3.169169903,FR-C,
COS,72,38.80580139,-104.7009964,US-CO,
FIH,72,-4.385749817,15.44460011,CD-KN,
GRX,72,37.18870163,-3.777359962,ES-AN,
KHH,72,22.57710075,120.3499985,TW-KHH,
LNZ,72,48.23320007,14.1875,AT-4,
SGF,72,37.24570084,-93.38860321,US-MO,
TOL,72,41.58679962,-83.80780029,US-OH,
WLG,72,-41.32720184,174.8049927,NZ-WGN,
ACE,71,28.94549942,-13.60519981,ES-CN,
BES,71,48.44789886,-4.418540001,FR-E,
BTS,71,48.17020035,17.21269989,SK-BL,
CEB,71,10.30749989,123.9789963,PH-CEB,
DMK,71,13.91259956,100.6070023,TH-10,
EIN,71,51.45009995,5.374529839,NL-NB,
FOR,71,-3.776279926,-38.5326004,BR-CE,
GYE,71,-2.15741992,-79.88359833,EC-G,
LAD,71,-8.858369827,13.23120022,AO-LUA,
LPI,71,58.40620041,15.68050003,SE-E,
LUN,71,-15.33080006,28.45260048,ZM-09,
MFE,71,26.17580032,-98.23860168,US-TX,
MPM,71,-25.92079926,32.57260132,MZ-MPM,
ROV,71,47.2582016,39.81809998,RU-ROS,
WDH,71,-22.4799,17.4709,NA-KH,
AZO,70,42.23490143,-85.55210114,US-MI,
BEL,70,-1.37925005,-48.47629929,BR-PA,
CHC,70,-43.48939896,172.5319977,NZ-CAN,
CUR,70,12.1889,-68.959801,CW-U-A,
FWA,70,40.97850037,-85.19509888,US-IN,
HGH,70,30.22949982,120.4339981,CN-33,
LBB,70,33.66360092,-101.822998,US-TX,
MRY,70,36.5870018,-121.8430023,US-CA,
ASU,69,-25.23999977,-57.52000046,PY-11,
DLA,69,4.006080151,9.719479561,CM-LT,
FNT,69,42.9654007,-83.74359894,US-MI,
HRG,69,27.17830086,33.79940033,EG-BA,
RUN,69,-20.88710022,55.51029968,RE-U-A,
XRY,69,36.74459839,-6.060110092,ES-AN,
FLN,68,-27.67027855,-48.55250168,BR-SC,
FNC,68,32.69789886,-16.77449989,PT-30,
MMA,68,,,,
MMX,68,55.53630536,13.37619781,SE-M,
OKA,68,26.19580078,127.6460037,JP-47,
PSP,68,33.82970047,-116.5070038,US-CA,
RDM,68,44.2541008,-121.1500015,US-OR,
BKO,67,12.53349972,-7.949940205,ML-2,
ECN,67,35.15470123,33.49610138,CY-02,
MHD,67,36.23519897,59.64099884,IR-30,
PSC,67,46.26470184,-119.1190033,US-WA,
VVI,67,-17.64480019,-63.13539886,BO-S,
YFC,67,45.8689003,-66.53720093,CA-NB,
BIL,66,45.80770111,-108.5429993,US-MT,
BZN,66,45.77750015,-111.1529999,US-MT,
ZNZ,66,-6.222020149,39.22489929,TZ-07,
BLI,65,48.7928009,-122.538002,US-WA,
CNX,65,18.76679993,98.96260071,TH-50,
EAS,65,43.35649872,-1.790609956,ES-PV,
PGF,65,42.74039841,2.87067008,FR-K,
PNH,65,11.54660034,104.8440018,KH-8,
TSR,65,45.80989838,21.33790016,RO-TM,
AVL,64,35.43619919,-82.54180145,US-NC,
GCM,64,19.2928009,-81.35769653,KY-U-A,
GUM,64,13.48340034,144.7960052,GU-U-A,
JIB,64,11.54730034,43.15950012,DJ-DJ,
KLU,64,46.64250183,14.33769989,AT-2,
KOA,64,19.73880005,-156.0460052,US-HI,
LAN,64,42.77870178,-84.58740234,US-MI,
MLH,64,47.59,7.5291667,FR-A,
SBA,64,34.42620087,-119.8399963,US-CA,
SUF,64,38.905399,16.2423,IT-78,
TAS,64,41.25790024,69.28119659,UZ-TO,
CBR,63,-35.30690002,149.1950073,AU-ACT,
CNS,63,-16.88579941,145.7550049,AU-QLD,
DNK,63,48.35720062,35.1006012,UA-12,
DSA,63,53.48053781,-1.010656357,GB-ENG,
FUE,63,28.45269966,-13.86380005,ES-CN,
LUG,63,46.00429916,8.910579681,CH-TI,
MAO,63,-3.038609982,-60.04970169,BR-AM,
MLI,63,41.44850159,-90.50749969,US-IL,
VVO,63,43.39899826,132.147995,RU-PRI,
XMN,63,24.54400063,118.1279984,CN-35,
AHB,62,18.24040031,42.65660095,SA-14,
BKI,62,5.937210083,116.0510025,MY-12,
FAI,62,64.81510162,-147.8560028,US-AK,
GRB,62,44.48509979,-88.12960052,US-WI,
IGU,62,-25.60027885,-54.48500061,BR-PR,
MGA,62,12.14150047,-86.16819763,NI-MN,
ULN,62,47.8431015,106.7669983,MN-1,
BDS,61,40.6576,17.947001,IT-75,
CHQ,61,35.53170013,24.14970016,GR-94,
